"id";"sexe";"cellId";"col";"row";"nb_dans_cellule";"lon_grille";"lat_grille";"lon_reel";"lat_reel";"reaffecte";"deplacement_m";"issu_zone_non";"point_reel_hors_commune"
"388";"Masculin";"272";"12";"1";"4";"-4.08520618858951";"5.30288356511363";"-4.0846199";"5.3019748";"0";"120";"0";"0"
"690";"Feminin";"272";"12";"1";"4";"-4.08407627994242";"5.30175492996356";"-4.086517559";"5.30491454681052";"0";"442";"0";"0"
"478";"Masculin";"282";"13";"12";"4";"-4.08191139322664";"5.35376709540134";"-4.0827435";"5.3540394";"0";"97";"0";"0"
"494";"Masculin";"282";"13";"12";"4";"-4.07965533224723";"5.35377107571506";"-4.0873151";"5.3507857";"1";"911";"0";"0"
"476";"Feminin";"282";"13";"12";"4";"-4.08190741871288";"5.35150587048598";"-4.0823883";"5.354795";"0";"368";"0";"0"
"477";"Feminin";"282";"13";"12";"4";"-4.07965136601742";"5.35150984910914";"-4.0826213";"5.3546783";"0";"481";"0";"0"
"447";"Masculin";"395";"18";"4";"2";"-4.05924158920358";"5.3164960932747";"-4.05658";"5.3187617";"0";"387";"0";"0"
"445";"Masculin";"395";"18";"4";"2";"-4.05707588528527";"5.31649980843082";"-4.0572283";"5.31947";"1";"329";"0";"0"
"84";"Masculin";"157";"7";"11";"4";"-4.10897584501045";"5.34919627500245";"-4.1052955";"5.3455683";"1";"572";"0";"0"
"91";"Feminin";"157";"7";"11";"4";"-4.10671982126929";"5.34920035150476";"-4.1047374";"5.3430398";"1";"716";"0";"0"
"86";"Feminin";"157";"7";"11";"4";"-4.1089717745836";"5.34693507030996";"-4.1058929";"5.3451178";"1";"396";"0";"0"
"87";"Feminin";"157";"7";"11";"4";"-4.10671575911891";"5.34693914507941";"-4.1059623";"5.343932";"1";"343";"0";"0"
"110";"Masculin";"213";"10";"18";"4";"-4.09549614834231";"5.38087760225372";"-4.0941953";"5.3786168";"0";"289";"0";"0"
"100";"Feminin";"213";"10";"18";"4";"-4.09323999795429";"5.3808816529368";"-4.0957239";"5.3809593";"0";"275";"0";"0"
"102";"Feminin";"213";"10";"18";"4";"-4.0954921034275";"5.37861638959471";"-4.0964175";"5.3813436";"0";"318";"0";"0"
"107";"Feminin";"213";"10";"18";"4";"-4.09323596136584";"5.37862043856591";"-4.0948224";"5.3805117";"0";"273";"0";"0"
"452";"Masculin";"437";"20";"4";"2";"-4.05021781277583";"5.31651152295096";"-4.0515467";"5.3178183";"1";"206";"0";"0"
"419";"Feminin";"437";"20";"4";"2";"-4.04805210248892";"5.31651520643904";"-4.050915";"5.3161367";"0";"320";"0";"0"
"140";"Masculin";"206";"9";"4";"4";"-4.09989537468551";"5.31755555340548";"-4.1004517";"5.314385";"0";"356";"0";"0"
"145";"Masculin";"206";"9";"4";"4";"-4.09763945954559";"5.31755957265694";"-4.0990517";"5.31781";"0";"159";"0";"0"
"135";"Feminin";"206";"9";"4";"4";"-4.09989136160525";"5.31529433943851";"-4.0996383";"5.3183317";"0";"337";"0";"0"
"144";"Feminin";"206";"9";"4";"4";"-4.09763545469224";"5.31529835697138";"-4.1001417";"5.316305";"0";"299";"0";"0"
"248";"Masculin";"246";"11";"6";"1";"-4.08975767268787";"5.32548784961207";"-4.0940133";"5.3224583";"1";"578";"0";"0"
"382";"Masculin";"327";"15";"9";"4";"-4.07286351619395";"5.34021557435056";"-4.0732117";"5.3410832";"0";"103";"0";"0"
"312";"Masculin";"327";"15";"9";"4";"-4.07060749808776";"5.34021951138665";"-4.0607033";"5.3387082";"1";"1110";"0";"0"
"383";"Feminin";"327";"15";"9";"4";"-4.07285958495048";"5.33795434167921";"-4.0706407";"5.3408948";"0";"408";"0";"0"
"311";"Feminin";"327";"15";"9";"4";"-4.07060357510706";"5.33795827703891";"-4.0610019";"5.3390403";"1";"1071";"0";"0"
"437";"Masculin";"435";"20";"6";"2";"-4.0502331536678";"5.32555652558126";"-4.0519467";"5.32662";"1";"223";"0";"0"
"439";"Masculin";"435";"20";"6";"2";"-4.04806741175975";"5.32556021537085";"-4.0519133";"5.3252183";"1";"428";"0";"0"
"715";"Feminin";"17";"0";"4";"2";"-4.14045434934641";"5.31635128872177";"-4.13735682";"5.31818495488576";"0";"399";"0";"0"
"716";"Feminin";"17";"0";"4";"2";"-4.13828870519863";"5.31635528886895";"-4.138700546";"5.31628610856302";"0";"46";"0";"0"
"532";"Masculin";"312";"14";"3";"4";"-4.07732828604121";"5.31307291259758";"-4.0744106";"5.3106216";"0";"422";"0";"0"
"533";"Masculin";"312";"14";"3";"4";"-4.07507237023474";"5.31307684600051";"-4.0746716";"5.3108967";"0";"245";"0";"0"
"531";"Feminin";"312";"14";"3";"4";"-4.07732435862283";"5.31081168126709";"-4.0740457";"5.3102597";"0";"368";"0";"0"
"534";"Feminin";"312";"14";"3";"4";"-4.07506845103648";"5.31081561298673";"-4.0752107";"5.3113736";"0";"64";"0";"0"
"427";"Masculin";"392";"18";"7";"4";"-4.05931186568657";"5.33119410059146";"-4.0589017";"5.32947";"0";"196";"0";"0"
"426";"Feminin";"392";"18";"7";"4";"-4.05705587055157";"5.33119798130415";"-4.05845";"5.3293967";"0";"252";"0";"0"
"361";"Feminin";"392";"18";"7";"4";"-4.05930799069058";"5.32893285723982";"-4.0559754";"5.3369713";"1";"962";"0";"0"
"310";"Feminin";"392";"18";"7";"4";"-4.05705200380433";"5.32893673629733";"-4.0611517";"5.3396418";"1";"1268";"0";"0"
"334";"Masculin";"311";"14";"4";"4";"-4.07733614596512";"5.31759537475403";"-4.0774175";"5.3169964";"0";"67";"0";"0"
"409";"Masculin";"311";"14";"4";"4";"-4.07508021370778";"5.31759931152359";"-4.0753615";"5.3152494";"0";"262";"0";"0"
"331";"Feminin";"311";"14";"4";"4";"-4.07733221515529";"5.31533414375992";"-4.0753404";"5.3167596";"0";"271";"0";"0"
"336";"Feminin";"311";"14";"4";"4";"-4.07507629112517";"5.31533807884615";"-4.0765664";"5.3187085";"0";"408";"0";"0"
"470";"Masculin";"346";"16";"11";"2";"-4.06832007206183";"5.34813784348764";"-4.0665727";"5.3532713";"1";"600";"0";"0"
"471";"Feminin";"346";"16";"11";"2";"-4.06615426365731";"5.34814161274659";"-4.0670282";"5.3521172";"1";"450";"0";"0"
